	LON	LAT	Pulleniatina_obliquiloculata	Globigerinoides_sacculifer	Globorotalia_ungulata	Globigerinoides_ruber	Globorotalia_menardii	Hastigerinella_digitata	Globigerinella_siphonifera	Globigerinella_calida	Globigerinoides_conglobatus	Neogloboquadrina_dutertrei	Orbulina_universa	Globigerina_bulloides	Globigerinita_glutinata	Turborotalita_quinqueloba	Phyllostaurus_cuspidatus	Globigerinita_uvula	Neogloboquadrina_incompta	Globoquadrina_conglomerata	Globorotalia_hirsuta	Hastigerina_pelagica	Neogloboquadrina_pachyderma	Virgulinella_fragilis	Pararotalia_calcariformata	Globorotalia_truncatulinoides	Globorotalia_scitula	Beella_digitata	Amphisorus_hemprichii	Sorites_orbiculus	Sorites_variabilis	Globorotalia_inflata	Globorotalia_tumida	Neidium_amphigomphus	Vellaria_pellucidus	Flexammina_islandica
90	64.41155	17.7763	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	64.2936	20.2281	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	62.798	3.27915	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	140	34	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	11	0	0	0	0
94	63.0944	5.91855	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	41.68737	-10.01378	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	-3.0837	36.1834	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0
97	39.72975	-8.96292	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	42.1457	-10.023	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	42.1457	-10.024	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	167.125	-10.381	0	0	0	0	0	0	12	6	4	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	41.4193	-10.8987	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	43.0588	13.1177	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	-77.39	14.21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	41.597	-14.4717	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	65.0003	15.0185	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	41.8208	15.226	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
